PET_T1ToD,Anxious_Temperament_Time1ToD_clust_pos_1,Anxious_Temperament_Time1ToD_clust_pos_2,Anxious_Temperament_Time1ToD_clust_pos_3,Anxious_Temperament_Time1ToD_clust_pos_4,Anxious_Temperament_Time1ToD_clust_pos_5,Anxious_Temperament_Time1ToD_clust_pos_6,Anxious_Temperament_Time1ToD_clust_pos_7,Anxious_Temperament_Time1ToD_clust_pos_8,Anxious_Temperament_Time1ToD_clust_pos_9,Anxious_Temperament_Time1ToD_clust_pos_10,Anxious_Temperament_Time1ToD_clust_pos_11,Anxious_Temperament_Time1ToD_clust_pos_12,Anxious_Temperament_Time1ToD_clust_pos_13,Anxious_Temperament_Time1ToD_clust_pos_14,Anxious_Temperament_Time1ToD_clust_pos_15,Anxious_Temperament_Time1ToD_clust_pos_16,Anxious_Temperament_Time1ToD_clust_pos_17,Anxious_Temperament_Time1ToD_clust_pos_18,Anxious_Temperament_Time1ToD_clust_pos_19,Anxious_Temperament_Time1ToD_clust_pos_20,Anxious_Temperament_Time1ToD_clust_pos_21,Anxious_Temperament_Time1ToD_clust_pos_22,Anxious_Temperament_Time1ToD_clust_pos_23,Anxious_Temperament_Time1ToD_clust_pos_24,Anxious_Temperament_Time1ToD_clust_pos_25,Anxious_Temperament_Time1ToD_clust_pos_26,Anxious_Temperament_Time1ToD_clust_pos_27,Anxious_Temperament_Time1ToD_clust_pos_28,Anxious_Temperament_Time1ToD_clust_pos_29,Anxious_Temperament_Time1ToD_clust_pos_30,Anxious_Temperament_Time1ToD_clust_pos_31,Anxious_Temperament_Time1ToD_clust_pos_32,Anxious_Temperament_Time1ToD_clust_pos_33,Anxious_Temperament_Time1ToD_clust_pos_34,Anxious_Temperament_Time1ToD_clust_pos_35,Anxious_Temperament_Time1ToD_clust_pos_36,Anxious_Temperament_Time1ToD_clust_pos_37,Anxious_Temperament_Time1ToD_clust_pos_38,Anxious_Temperament_Time1ToD_clust_pos_39,Anxious_Temperament_Time1ToD_clust_pos_40,Anxious_Temperament_Time1ToD_clust_pos_41,Anxious_Temperament_Time1ToD_clust_pos_42,Anxious_Temperament_Time1ToD_clust_pos_43,Anxious_Temperament_Time1ToD_clust_pos_44,Anxious_Temperament_Time1ToD_clust_pos_45,Anxious_Temperament_Time1ToD_clust_pos_46,Anxious_Temperament_Time1ToD_clust_neg_1,Anxious_Temperament_Time1ToD_clust_neg_2,Anxious_Temperament_Time1ToD_clust_neg_3,Anxious_Temperament_Time1ToD_clust_neg_4,Anxious_Temperament_Time1ToD_clust_neg_5,Anxious_Temperament_Time1ToD_clust_neg_6,Anxious_Temperament_Time1ToD_clust_neg_7,Anxious_Temperament_Time1ToD_clust_neg_8,Anxious_Temperament_Time1ToD_clust_neg_9,Anxious_Temperament_Time1ToD_clust_neg_10,Anxious_Temperament_Time1ToD_clust_neg_11,Anxious_Temperament_Time1ToD_clust_neg_12,Anxious_Temperament_Time1ToD_clust_neg_13,Anxious_Temperament_Time1ToD_clust_neg_14,Anxious_Temperament_Time1ToD_clust_neg_15
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_193_388_avg_blur2.nii,5.4339,5.8751,5.3527,5.2981,4.4604,5.8664,5.0659,4.863,4.3199,5.4592,4.9347,5.2086,4.8981,4.8245,4.4089,3.9096,4.8771,5.2675,5.2651,4.5391,4.2901,5.249,4.0061,4.7111,4.953,5.6543,5.13,6.3765,4.1333,4.9387,4.4406,4.5769,4.6202,5.0696,5.4614,4.5346,4.1954,5.4799,4.1493,6.3214,5.1188,5.6235,4.48,4.9771,4.6735,4.776,5.4605,4.4727,4.7212,5.8027,4.532,5.3872,3.8192,4.3951,5.3562,5.5202,6.1033,5.199,5.1146,4.878,3.2939
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_211_383_avg_blur2.nii,5.5501,6.0364,5.4553,5.4759,4.5948,6.2225,5.19,4.9354,4.2191,5.7382,4.9724,5.2684,5.0113,4.8097,4.1997,3.7319,5.0761,5.3524,5.2943,4.4878,4.2964,5.1157,3.8794,4.7373,4.8355,6.1279,5.2081,6.2879,4.0158,4.9967,4.4959,4.5583,4.666,5.0911,5.2568,4.3419,3.8414,5.6164,4.3125,6.2559,5.5141,5.8732,4.481,5.0444,4.6007,4.9073,5.4301,4.5367,4.5998,6.0493,4.4353,5.0355,3.6025,4.4512,5.0623,5.0725,5.4106,5.0634,4.8971,4.6071,3.2576
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_217_373_avg_blur2.nii,5.231,5.6014,5.2021,5.2099,4.4288,5.7958,4.9311,4.6241,4.0586,5.4587,4.8392,4.9128,4.8589,4.8281,4.1575,3.7621,4.7644,5.3575,5.1711,4.3736,4.1762,4.8568,3.6536,4.4994,4.8069,5.5961,5.0003,6.0325,3.7443,4.6789,4.2296,4.6775,4.6242,4.9091,5.3103,4.4348,4.0128,5.5705,3.9767,6.0938,5.2772,5.4023,4.1956,5.0152,4.2471,4.7756,5.6236,4.8046,4.8058,5.7603,4.6684,5.3211,3.9748,4.5169,5.2568,5.2557,6.4966,5.5528,5.1062,5.0098,3.5837
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_219_398_avg_blur2.nii,5.3927,5.8736,5.4207,5.1408,4.2807,6.0778,4.6895,5.061,4.4296,5.5019,4.6397,5.1415,4.8242,4.7363,4.3799,3.7451,4.5601,5.184,5.0341,4.1716,4.1123,5.1554,3.8926,4.6153,4.7539,5.6928,5.1102,6.4469,3.9472,4.7587,4.3024,4.4762,4.4832,4.8656,5.4536,4.206,4.0521,5.468,3.8814,6.5467,5.0113,5.7438,4.2557,4.8505,4.9338,4.6818,5.6182,4.4456,4.7207,5.6516,4.5947,5.1657,3.8223,4.4407,5.0721,5.2822,6.3641,5.2996,5.1426,4.7183,3.2778
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_222_381_avg_blur2.nii,5.41,5.5724,5.2731,5.2088,4.79,5.7205,5.1093,4.9477,4.3974,5.4257,5.1015,5.0608,5.2394,4.9302,4.476,4.2912,4.9161,5.6321,5.1209,4.5882,4.5298,4.9458,4.0405,4.686,4.9614,5.6004,5.0351,6.0783,4.2154,4.8281,4.6823,4.8241,4.8942,5.0322,5.171,4.8296,4.3541,5.7595,4.3039,5.8931,4.9357,5.5286,4.5324,5.0619,4.7627,4.9593,5.3146,4.5148,4.7665,5.4202,4.6266,5.1172,3.9451,4.4554,5.1517,5.329,5.6005,5.1053,5.0028,4.739,3.6626
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_240_371_avg_blur2.nii,5.371,5.717,5.3955,5.1502,4.462,5.8698,5.0413,4.871,4.2799,5.3698,4.905,4.9014,4.9482,4.8871,4.4107,3.8816,4.791,5.2714,5.2121,4.4287,4.3577,4.8331,4.0971,4.5409,4.7922,5.5753,4.9791,6.6118,3.97,4.7578,4.3366,4.635,4.6319,4.9284,5.3043,4.409,4.0828,5.3946,4.195,6.0937,5.3488,5.6811,4.54,4.9844,4.6368,4.7547,5.5194,4.7422,4.6517,5.6675,4.6443,5.4484,3.9007,4.7672,5.3348,5.708,6.0639,5.2785,5.0918,4.864,3.4111
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_251_361_avg_blur2.nii,5.3569,5.6715,5.3204,5.3372,4.6773,5.7304,5.0241,5.1252,4.4101,5.4887,4.9697,5.099,5.0832,4.8496,4.4681,4.2394,4.9813,5.3937,5.0797,4.5644,4.4702,4.9453,4.3371,4.7807,4.8224,5.6016,5.2936,6.4158,4.2911,5.0877,4.5608,4.7275,4.7544,4.9804,5.4284,4.3848,4.2937,5.6305,4.2615,6.1765,5.0426,5.4752,4.5165,4.8932,4.837,4.9708,5.3446,4.0945,4.7828,5.3228,4.5716,5.3314,3.8658,4.6024,5.2547,5.3345,5.9792,5.2766,5.0148,4.8931,3.298
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_270_407_avg_blur2.nii,5.284,5.6358,5.1869,5.3611,4.3335,5.7821,5.0042,4.8723,4.1701,5.6035,4.7882,5.1503,5.0064,4.8481,4.2052,3.4123,5.0004,5.4239,4.9323,4.3305,3.9802,4.8492,3.6179,4.6242,4.6671,5.9178,4.9947,6.4243,3.9629,4.9328,4.0798,4.7253,4.4806,5.0542,5.3949,4.2346,3.9375,5.5376,4.0966,6.0802,5.0818,5.3458,4.317,5.0183,4.7397,4.6217,5.5895,4.8116,4.7377,5.8643,4.7943,5.0197,3.7072,4.6656,5.1374,5.5007,5.9545,5.1896,5.0185,4.7981,3.1825
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_271_397_avg_blur2.nii,5.5512,5.9875,5.337,5.4378,4.4106,6.2174,5.2431,5.0546,4.3739,5.6271,5.03,5.0575,5.1613,5.0804,4.2737,3.8702,4.8833,5.4289,5.0678,4.3725,4.2467,4.9415,3.8241,4.719,4.8081,6.2127,5.1036,6.6353,4.0481,4.9664,4.3668,4.7397,4.6089,5.1209,5.4466,4.7705,4.0349,5.6113,3.9224,6.5892,5.8065,5.7543,4.3722,5.1194,4.7874,4.9778,5.3749,4.2656,4.548,5.7125,4.46,5.1286,3.5088,4.4906,5.2429,5.2248,5.8033,5.1936,4.9102,4.5038,2.9689
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_278_356_avg_blur2.nii,5.2819,5.677,5.236,5.2818,4.4808,5.6216,4.9986,5.027,4.4383,5.3628,4.7919,5.1222,4.8269,4.8779,4.4347,4.0937,4.9158,5.3206,5.2182,4.5436,4.41,4.9619,4.2774,4.6512,4.7763,5.61,4.9588,6.1286,4.1124,5.0864,4.5486,4.6967,4.7714,5.073,5.2309,4.4714,4.1126,5.3218,4.3935,6.1011,5.1173,5.4731,4.4268,4.9737,4.7151,4.6812,5.4277,4.3283,4.781,5.5878,4.6613,5.2887,4.011,4.7376,5.2544,5.3384,5.931,5.387,5.098,5.0366,3.6601
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_279_394_avg_blur2.nii,5.5503,6.0582,5.3847,5.3187,4.5156,6.0942,5.2135,5.2478,4.5212,5.5271,5.1461,5.0267,5.2505,4.872,4.4533,3.9043,4.7314,5.6224,5.2502,4.3989,4.1578,5.2972,4.0174,4.881,4.7425,5.9923,5.1082,6.5624,4.3207,4.6604,4.3628,4.63,4.7721,4.9885,5.4067,4.7774,4.3093,5.8308,4.0557,6.4939,5.6905,5.8355,4.5341,4.9336,4.9304,4.909,5.3432,4.7901,4.6459,5.1443,4.4746,5.0459,3.7414,4.0717,4.9956,4.8911,5.8022,5.3566,5.0365,4.7692,3.2492
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_281_391_avg_blur2.nii,5.6277,6.0369,5.5883,5.4198,4.5609,6.1305,5.04,5.0625,4.2813,5.4955,4.9393,5.0888,4.8857,4.7988,4.3257,3.761,4.8309,5.3722,5.0955,4.3384,4.0523,4.8987,3.7378,4.8472,4.6919,5.9389,5.1139,6.4122,4.0818,4.9619,4.3845,4.9433,4.6193,4.9586,5.455,4.6313,4.0499,5.2942,4.2245,6.3382,5.6983,5.7007,4.2599,5.0965,4.6149,4.9062,5.1925,4.4782,4.7341,5.773,4.3957,5.3123,3.8785,4.9629,5.0955,5.1956,5.5387,4.8559,4.9286,4.3613,3.2891
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_285_385_avg_blur2.nii,5.2454,5.5471,5.2545,5.0939,4.5556,5.5256,5.1572,4.978,4.5456,5.2321,5.1422,4.9545,4.9421,4.9424,4.6899,4.3781,5.0049,5.2749,5.0869,4.7104,4.5344,5.0983,4.486,4.8605,5.1691,5.4612,5.0136,6.2147,4.5304,4.9765,4.5666,4.7628,4.7598,5.1573,5.221,4.7474,4.236,5.2879,4.3821,5.7318,5.0656,5.6216,4.59,5.1026,4.8198,4.8151,5.3025,4.3808,4.81,5.3528,4.8026,5.5016,4.1166,4.5159,5.4006,5.5748,5.7927,5.3068,5.1796,4.9357,3.689
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_287_386_avg_blur2.nii,5.1928,5.5755,5.1256,5.0469,4.2201,5.6486,4.874,4.7468,4.2418,5.1944,4.787,4.8969,4.659,4.6997,4.5171,3.877,4.5906,5.1464,4.7946,4.3763,4.2101,4.9945,4.0351,4.6628,4.6255,5.4447,4.662,6.2691,4.1247,4.7017,4.2508,4.4358,4.5101,4.8372,5.0978,4.4519,3.9883,5.2639,3.9653,6.0312,5.0394,5.3169,4.1201,4.7553,4.4669,4.4742,5.706,4.2214,4.9482,5.7272,4.4947,5.3509,4.0114,4.7652,5.4258,5.4124,6.7591,5.6337,5.4463,4.9347,3.4719
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_294_419_avg_blur2.nii,5.1522,5.643,5.1123,5.2339,4.3539,5.5719,5.1743,4.8472,4.192,5.289,4.917,5.1817,5.0307,4.6822,4.4174,3.8405,4.9385,5.4867,4.7981,4.5368,4.3662,4.7907,3.9068,4.57,4.605,5.8046,4.9978,6.1365,4.09,4.8182,4.3827,4.7366,4.8774,4.8598,5.3299,4.5272,4,5.3929,4.0709,6.0032,4.9899,5.2702,4.4347,4.9998,4.5205,4.711,5.5885,4.9512,4.9932,5.9762,5.1989,5.0354,4.0373,4.697,5.2647,4.9603,6.0383,5.422,5.4294,4.7483,3.6
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_295_382_avg_blur2.nii,5.189,5.6369,5.2745,5.0449,4.1912,5.7579,4.8754,4.8763,4.0538,5.2763,4.7161,5.1198,5.0079,4.7518,4.2463,3.5686,4.4317,5.2943,5.1761,4.1891,4.0032,4.9903,3.6346,4.6389,4.7849,5.7572,4.7892,6.2242,3.9038,4.6577,4.0888,4.2943,4.174,5.015,5.1231,4.4495,4.0015,5.613,3.6204,5.9182,4.9147,5.3141,4.4882,4.7386,4.5947,4.7047,5.4811,4.5569,4.5519,6.0251,4.5659,5.3407,3.5586,4.704,5.2037,5.5915,5.9569,5.3336,4.8747,4.6193,2.9424
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_298_390_avg_blur2.nii,5.2162,5.4674,5.157,5.179,4.2341,5.5285,4.6668,4.9328,4.1853,5.3797,4.7194,4.836,4.8197,4.891,4.2066,3.6715,4.5116,5.2086,4.8722,4.1541,4.0146,4.7888,3.7,4.4533,4.7051,5.8823,4.7125,6.1368,3.8635,4.6989,4.2053,4.4439,4.4112,4.9736,5.2616,4.4161,4.0431,5.5797,4.1747,5.9462,5.0423,5.3456,4.1771,4.9791,4.5954,4.5847,5.54,4.9869,4.7501,5.8601,4.62,5.4228,4.2311,5.0443,5.4324,5.5185,6.1604,5.0968,5.1262,4.4913,3.821
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_299_415_avg_blur2.nii,5.4231,5.8208,5.3197,5.2056,4.4075,5.7834,4.9215,4.7997,4.1415,5.5532,4.7361,5.0166,4.8122,4.8017,4.4522,3.5236,4.908,5.1726,5.1004,4.4008,4.1609,5.0994,3.5831,4.9194,4.8392,5.7011,4.9101,6.7128,4.0616,4.7934,4.0474,4.7893,4.5477,5.1095,5.2837,4.2482,4.0244,5.3603,3.8339,6.0193,5.2141,6.0823,4.4656,4.8997,4.3835,4.6216,5.6018,4.4751,4.762,5.6956,4.2348,5.3875,3.8191,4.4519,5.4005,5.4434,6.1757,5.4963,5.2428,4.6518,3.198
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_303_410_avg_blur2.nii,5.6719,6.1179,5.8232,5.4191,4.6806,6.2091,5.1397,5.309,4.8645,5.4658,5.0531,5.2114,5.1511,5.2128,4.5648,4.1108,5.1159,5.4802,5.3505,4.6975,4.7271,4.9812,4.4205,5.0912,5.2668,5.8439,5.2057,6.6992,4.2387,5.0773,4.3803,4.8288,4.973,5.2059,5.8307,4.5246,4.4551,5.7934,4.5817,6.3434,5.1446,5.5221,4.8039,5.4002,5.0353,4.9059,4.9383,4.5001,4.5913,5.6714,4.5525,4.5723,3.6086,4.1398,4.7341,4.5835,5.6367,4.8729,4.9167,3.9691,3.0309
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_307_389_avg_blur2.nii,5.5214,5.86,5.3217,5.2275,4.5128,6.0331,5.4267,5.1897,4.2727,5.4384,5.2022,5.159,5.2042,4.8109,4.575,3.877,4.7684,5.5538,5.2426,4.3639,4.0595,5.0039,3.8151,4.9761,4.674,6.0048,5.136,6.0727,4.1392,5.0012,4.3456,4.8138,4.6881,5.0227,5.3732,4.8825,4.2104,5.7579,4.2192,6.1258,5.2491,5.7266,4.3738,5.022,4.8992,4.7409,5.2382,4.9102,4.4318,5.6464,4.5373,5.0122,3.7964,4.3687,4.9975,5.0958,5.6528,4.9789,4.8875,4.309,3.2469
/Volumes/Scratch/NORS/pet_mean/toTemplate_T1ToD_pet_311_406_avg_blur2.nii,5.2898,5.6463,5.2202,5.221,4.4553,5.6418,4.9578,4.7146,4.3171,5.2505,4.83,5.0224,4.8694,4.8323,4.5579,3.9386,4.9296,5.0467,5.057,4.3581,4.3233,5.0642,4.204,4.8977,4.6198,5.5567,5.011,6.2016,4.2569,4.9911,4.1456,4.6539,4.7494,4.9922,5.248,4.3747,4.2079,5.0866,4.1856,6.2209,5.1444,5.4068,4.3801,4.9803,4.5357,4.4471,5.4524,4.5664,5.1633,6.0268,4.7856,5.1317,4.1279,4.7806,5.1932,5.236,5.8752,5.2836,5.2095,4.9037,3.6512
